Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight
1,30,22,18,20,18,14,22,22,25,25,22,52
1,28,19,22,17,18,21,25,28,23,25,20,56
2,27,21,18,16,14,10,15,21,18,14,18,53
1,29,20,20,18,11,19,14,24,21,20,21,45
2,28,16,14,18,13,11,30,25,22,32,13,47
2,22,17,19,18,14,16,18,20,24,21,19,60
2,18,25,17,16,17,12,28,23,25,14,18,49
2,26,18,15,19,17,23,27,19,19,19,19,58
1,23,16,16,20,18,22,18,15,26,20,19,40
1,31,15,20,28,18,91,17,16,21,21,19,55
1,29,16,28,17,15,21,30,17,25,18,17,50
1,35,23,21,18,12,18,27,18,17,19,20,49
2,29,21,19,17,17,20,21,20,20,18,22,59
1,30,19,17,18,18,24,28,23,22,17,24,47
2,20,24,21,17,16,18,19,19,27,17,19,51
2,27,19,15,20,11,20,18,19,28,17,18,57
2,24,16,20,16,9,25,22,19,19,25,15,60
1,30,21,18,21,12,19,21,15,20,21,20,59
1,35,20,16,28,18,17,23,16,27,23,9,48
1,29,18,15,18,15,18,24,20,25,17,13,42
1,35,25,18,18,15,19,19,23,19,18,21,49
2,29,80,19,16,17,20,20,24,22,19,20,44
2,27,21,21,16,18,22,30,15,20,25,9,45
1,26,16,22,17,14,24,19,22,18,21,13,54
2,24,15,19,17,15,16,20,18,26,21,21,57
1,20,16,16,18,17,15,21,19,19,21,20,60
1,30,20,17,17,19,18,23,15,17,21,18,57
1,35,17,18,18,10,17,24,20,28,20,21,58
1,31,19,15,20,14,22,21,25,27,23,19,45
1,20,28,14,20,18,19,30,24,25,20,20,51
1,24,29,20,18,17,18,35,20,20,16,30,31
2,27,17,22,16,12,18,30,17,27,11,31,30
1,29,19,20,20,14,18,21,20,28,12,21,33
1,27,24,19,16,15,19,21,17,24,12,28,60
2,18,15,21,16,15,20,21,18,17,12,39,45
2,19,14,22,18,17,13,20,19,18,13,27,47
2,20,19,19,18,18,11,23,20,19,14,28,48
2,24,17,21,19,18,11,24,19,20,18,22,40
1,22,18,16,16,19,12,28,19,21,18,21,48
1,24,20,17,17,19,13,20,19,16,17,20,48
2,25,22,17,17,12,13,28,18,19,17,27,60
1,21,23,17,17,12,18,20,20,18,18,17,55
1,25,22,17,22,10,18,21,23,17,16,18,51
1,22,20,18,22,11,14,23,22,17,18,19,52
2,21,19,20,20,11,14,19,20,17,18,30,53
2,19,19,20,21,13,14,18,21,18,17,20,59
2,17,19,21,20,13,13,19,20,18,18,28,50
1,18,27,16,16,14,15,18,19,19,20,27,50
1,25,26,16,14,19,16,19,19,20,21,21,39
2,30,26,14,15,18,17,20,18,20,17,21,57
2,29,19,19,10,16,20,19,21,17,18,22,44
2,28,20,18,16,18,21,30,21,17,18,23,47
1,30,22,15,16,16,21,19,18,18,17,23,57
1,25,19,21,16,19,23,18,19,26,19,14,58
1,30,18,20,17,14,20,17,19,27,16,18,59
2,18,17,21,18,16,20,17,20,26,17,17,51
2,19,17,18,20,19,15,17,20,17,14,19,59
1,28,20,20,18,19,11,18,17,15,11,20,52
2,17,21,19,14,13,15,16,17,21,22,38,60
1,6,17,9,8,8,10,10,11,8,17,19,25
1,8,19,15,13,9,15,15,21,24,17,31,50
1,24,21,17,11,8,20,9,25,21,18,37,60
2,54,26,18,13,11,23,16,23,27,22,46,72
1,16,16,13,17,13,19,16,17,18,18,37,34
2,24,24,21,15,12,16,17,24,21,19,34,38
1,15,19,15,7,8,13,15,17,20,21,37,51
1,4,18,13,15,12,15,15,16,19,13,26,43
1,21,22,16,16,8,9,11,14,20,21,30,50
1,38,20,17,21,14,13,16,22,27,21,41,47
1,49,23,16,14,11,14,14,20,22,23,33,52
2,22,24,18,21,19,21,23,23,27,21,28,59
1,3,15,7,7,6,7,10,10,11,8,17,23
1,12,19,16,15,13,20,16,24,39,21,42,62
2,18,22,18,18,15,17,20,21,26,22,19,38
1,37,25,19,17,22,17,22,19,27,20,27,47
1,21,17,14,17,15,19,16,22,25,21,41,50
1,16,23,15,13,10,13,13,20,22,16,30,56
1,19,20,18,11,9,20,14,21,9,19,41,55
2,32,16,7,8,8,7,8,10,24,8,18,24
2,3,21,19,10,10,22,10,23,24,19,37,60
1,42,24,15,13,9,10,16,21,10,20,36,61
1,2,15,7,11,8,7,15,7,22,7,16,24
1,50,20,18,7,8,10,23,19,20,24,34,38
1,37,21,19,12,16,18,14,26,23,26,29,37
1,20,24,13,18,21,21,24,25,19,19,49,75
2,7,17,11,15,12,13,16,15,22,13,26,40
1,17,19,10,15,13,15,17,21,22,19,33,47
1,24,20,18,12,11,22,13,22,25,20,40,57
1,3,16,8,7,7,8,9,9,10,9,18,23
1,34,20,18,10,9,21,10,24,22,19,38,59
2,24,22,16,12,10,11,14,23,25,19,38,60
1,21,18,14,9,9,10,11,20,23,15,30,53
1,6,20,18,12,11,13,11,22,25,20,40,61
1,31,16,14,12,10,13,19,15,20,11,22,33
1,4,20,16,12,10,14,14,20,25,18,32,51
1,7,26,19,14,12,23,16,24,28,23,46,73
1,54,20,17,14,13,14,15,22,26,21,42,62
1,19,20,16,8,9,14,16,18,21,22,38,52
2,15,23,16,14,11,14,14,21,23,17,33,56
1,24,22,17,12,13,22,12,23,27,20,46,62
1,32,20,17,18,9,16,8,23,13,20,30,40
1,16,16,8,12,8,7,10,11,11,8,17,23
2,2,20,19,13,12,16,17,7,27,19,39,43
1,28,22,19,20,18,20,23,24,27,19,39,38
1,22,20,13,10,8,10,12,23,19,20,34,75
1,8,23,20,16,15,14,16,13,27,23,45,53
1,36,23,16,11,10,14,14,25,25,20,39,53
2,21,23,16,21,14,20,17,22,22,21,30,43
1,32,17,14,18,14,20,17,20,19,19,39,34
1,16,21,18,18,14,18,19,18,26,22,40,46
1,17,19,12,17,13,16,18,23,23,20,38,42
1,18,23,20,14,13,17,16,20,28,20,40,48
1,24,22,17,22,13,22,19,23,20,20,27,47
1,32,25,19,23,18,23,20,22,23,23,29,56
1,42,24,18,21,20,22,24,26,28,18,38,59
1,4,18,12,14,13,14,15,16,18,14,25,42
2,19,19,18,15,213,14,17,16,20,23,36,60
1,20,18,19,16,12,15,16,15,18,25,38,59
1,21,16,22,20,23,14,19,16,17,26,29,62
1,17,17,17,21,15,13,11,14,18,27,34,41
1,16,22,16,10,17,10,13,22,17,21,34,57
2,24,21,14,9,10,17,20,16,18,20,37,49
2,18,17,19,8,11,14,19,14,20,21,30,63
1,37,19,20,13,18,18,18,16,21,19,23,49
2,50,16,23,18,12,50,14,22,12,18,29,44
2,42,14,10,12,9,49,17,20,25,17,13,54
1,40,12,14,11,18,36,17,21,23,16,27,64
1,35,15,19,16,10,26,16,19,24,22,28,69
1,29,13,18,17,23,19,13,20,21,19,30,67
1,55,18,17,15,24,60,14,14,20,23,29,57
2,25,22,14,11,14,10,19,15,19,21,31,68
2,33,25,16,12,13,20,13,21,17,20,29,69
1,39,16,15,14,14,21,19,15,17,22,24,48
1,17,23,20,10,9,18,20,16,16,19,20,58
1,22,15,19,11,16,19,21,12,18,18,21,60
1,25,13,22,14,12,20,22,21,19,19,22,57
1,32,11,11,19,14,21,21,15,21,22,30,48
2,39,24,10,11,18,21,19,20,23,20,29,49
1,49,16,10,16,20,10,14,16,21,21,25,54
2,26,13,14,13,11,17,17,19,20,30,30,47
2,44,10,16,10,19,31,16,20,19,20,29,66
1,25,9,17,7,10,29,14,17,18,18,19,49
1,15,14,18,9,9,12,15,19,20,21,20,54
2,50,21,19,10,20,52,36,40,36,30,29,47
2,42,21,12,11,19,40,44,41,33,29,30,40
1,20,22,18,17,15,14,15,24,22,21,21,55
1,31,18,19,20,15,21,22,22,19,20,13,52
1,19,17,14,16,9,9,14,23,25,13,20,32
2,24,19,20,21,10,10,30,18,15,19,9,35
2,27,23,16,17,12,11,18,15,21,20,15,56
2,29,25,18,19,14,12,19,19,22,25,20,50
2,30,20,20,18,16,16,20,25,23,15,18,45
1,31,16,18,18,18,23,18,23,22,20,18,45
2,28,16,19,16,12,24,17,24,24,14,19,51
1,23,18,17,18,11,19,14,20,26,21,24,48
2,29,15,20,19,16,21,18,19,20,22,22,43
1,35,17,18,20,15,18,19,21,21,14,23,52
1,18,25,18,21,17,20,20,23,25,23,26,39
1,20,23,22,20,12,21,21,24,22,22,27,45
1,35,19,18,18,19,18,22,17,19,20,21,48
1,32,18,16,20,16,20,18,22,20,19,19,31
1,31,20,21,18,17,21,19,18,18,18,19,60
2,20,21,18,19,14,18,17,19,17,17,19,50
2,19,24,21,20,10,18,20,20,14,24,16,49
1,18,19,18,16,19,19,21,23,23,22,20,33
2,24,20,21,18,15,29,22,24,28,21,22,39
2,22,20,19,19,14,22,20,23,27,20,21,47
1,21,24,20,18,13,14,18,21,19,20,20,53
2,26,17,16,18,10,17,17,17,20,18,19,41
1,18,18,15,17,11,16,15,20,21,16,21,52
1,27,19,16,17,13,19,14,25,25,19,20,48
1,29,21,20,18,12,20,20,19,20,20,19,51
1,30,21,18,18,12,19,19,20,22,21,18,40
1,20,20,21,20,17,20,18,24,19,22,21,55
1,5,18,13,14,13,13,12,12,16,9,19,30
2,25,22,17,20,16,20,20,20,20,19,30,50
2,3,19,10,14,15,8,7,7,12,6,16,20
2,7,21,14,15,21,14,12,12,16,11,25,30
1,50,24,21,19,13,27,30,20,21,19,30,50
1,16,19,16,16,21,15,16,20,20,20,40,52
1,5,22,12,11,14,6,8,11,11,18,16,31
1,20,17,18,16,11,20,20,20,21,16,32,52
1,4,21,10,12,16,8,7,66,7,8,17,21
1,23,22,15,9,8,20,10,66,20,15,31,51
1,17,18,16,8,7,7,11,21,21,16,32,52
1,13,16,16,7,9,10,14,22,20,17,31,40
2,18,19,17,10,6,9,11,19,22,12,27,46
2,2,21,6,6,7,11,7,16,7,8,17,21
2,3,23,11,8,5,9,7,7,11,7,17,30
2,7,21,13,10,6,7,12,8,21,10,25,36
2,14,22,16,7,9,9,10,20,20,10,30,43
1,20,19,17,7,11,10,10,21,18,16,36,46
1,31,24,17,10,9,11,10,22,18,20,40,46
1,12,21,16,9,6,11,10,17,23,17,32,56
1,6,22,10,8,9,10,10,21,21,13,23,41
1,3,18,19,10,10,6,12,21,20,12,30,35
1,27,25,20,11,11,10,14,20,21,19,34,40
1,26,23,17,12,12,11,12,20,16,17,30,52
1,36,21,15,13,11,7,13,21,17,20,42,42
1,31,21,16,11,10,6,11,22,20,19,39,70
1,25,23,18,13,11,10,14,20,20,14,30,56
1,4,19,13,16,15,14,15,14,19,10,21,32
1,27,21,18,21,19,21,22,24,22,20,40,57
1,2,18,9,10,9,9,10,9,15,9,18,23
1,9,20,15,15,16,15,16,16,19,13,26,35
1,60,23,22,20,23,30,34,24,25,20,40,55
2,18,24,17,18,15,16,18,22,22,21,42,57
2,4,18,14,12,10,9,10,12,12,9,18,32
1,22,27,17,20,18,21,22,23,22,19,39,55
2,2,18,9,13,9,9,10,8,10,9,18,23
1,24,20,10,10,9,21,11,23,21,19,38,53
1,19,21,17,9,10,9,12,24,22,20,40,56
1,15,19,17,8,8,11,15,20,20,20,40,50
2,19,21,18,11,9,10,13,20,23,15,30,48
2,3,17,8,7,7,10,9,9,10,9,18,23
1,4,19,12,9,8,11,9,10,12,10,20,32
1,8,20,12,11,9,8,13,19,21,15,30,40
1,16,22,17,9,9,10,12,21,23,18,32,47
1,21,24,18,10,10,13,13,22,24,19,38,50
1,32,23,18,11,12,12,12,24,26,21,42,60
1,14,20,17,10,10,11,12,21,24,19,38,43
1,7,20,16,10,8,12,12,18,20,14,28,38
1,4,18,10,11,10,10,10,20,21,16,32,41
1,29,22,18,12,11,12,15,23,26,21,42,54
1,28,20,18,14,12,10,16,23,25,20,40,46
1,35,22,19,15,14,14,15,24,26,22,44,72
1,30,22,18,12,13,15,15,23,25,21,42,64
2,24,24,17,15,12,13,15,22,24,16,32,57
1,30,23,18,12,29,32,16,22,20,21,20,64
2,3,18,11,10,22,37,23,13,10,10,17,22
1,20,22,18,16,30,37,28,25,19,22,40,46
1,34,23,20,17,34,41,24,25,18,22,40,59
1,35,24,21,18,37,28,24,23,17,23,39,57
1,12,20,14,12,27,33,27,18,14,14,29,57
1,30,23,18,15,29,26,20,23,22,22,41,64
1,15,20,14,11,23,23,15,19,17,14,30,50
1,18,19,18,15,28,34,28,25,24,23,39,80
1,17,21,16,13,28,25,28,22,20,18,36,79
1,10,21,14,9,25,42,26,17,17,18,26,71
1,25,27,20,17,37,42,28,23,20,17,37,60
1,32,25,19,16,37,36,8,23,23,20,38,24
1,34,22,19,17,32,38,24,24,25,19,36,59
1,37,24,20,18,36,38,37,23,20,23,39,68
2,1,11,6,16,13,13,14,9,9,9,13,21
1,1,12,5,17,12,13,15,9,9,7,13,20
2,3,11,6,15,13,12,14,9,10,8,13,22
1,4,13,5,18,14,14,17,10,9,8,14,23
1,3,18,8,20,20,22,20,8,12,8,15,24
2,2,11,87,15,13,12,14,9,9,6,13,19
2,1,12,7,16,13,12,15,10,10,8,12,20
1,4,22,11,22,20,21,22,7,14,13,24,27
2,3,20,10,20,20,21,22,8,14,13,23,24
2,4,22,11,21,20,23,24,10,10,13,22,25
1,5,22,15,20,19,18,20,19,22,12,16,45
2,6,20,14,19,17,16,18,18,20,12,26,43
2,7,21,15,19,17,16,18,18,21,12,37,45
1,8,20,13,26,23,26,27,10,19,19,31,52
2,9,23,15,26,21,20,22,13,19,18,32,55
1,10,24,16,27,24,23,24,17,19,20,33,50
2,11,25,16,27,28,25,28,21,22,45,49,59
2,12,26,14,28,24,25,27,22,23,26,40,60
1,13,28,19,27,23,24,27,21,23,26,40,62
2,19,29,19,31,28,28,28,30,26,30,46,68
1,20,26,17,28,21,26,28,27,26,29,40,67
1,21,28,18,28,23,25,27,21,27,29,43,69
2,22,20,28,19,28,22,26,28,27,26,40,68
2,23,20,18,28,23,25,26,25,28,28,41,69
1,24,28,18,28,23,24,26,28,27,27,42,72
2,25,26,20,37,28,26,27,28,28,27,42,74
1,26,26,20,38,27,28,27,27,26,25,40,85
1,27,28,20,31,30,32,38,30,28,27,41,86
2,20,29,20,32,28,32,32,28,29,29,42,89
1,1,11,6,15,13,12,14,9,9,6,13,19
2,1,11,5,16,13,13,15,9,9,6,13,20
1,4,20,9,22,21,21,20,7,14,13,22,38
2,4,22,11,23,22,24,24,8,17,15,26,44
1,1,19,9,21,20,22,20,6,13,9,16,31
1,3,18,9,22,21,22,20,7,13,9,16,20
1,3,18,8,20,20,22,20,8,12,8,15,24
2,1,12,7,16,13,12,14,10,10,9,13,25
2,3,20,10,20,21,23,21,11,10,9,17,19
2,4,22,11,22,20,21,22,7,14,13,23,27
1,5,20,14,18,17,16,18,18,20,12,26,43
2,6,22,15,19,18,19,15,20,20,13,28,51
2,7,24,16,19,20,20,22,20,21,14,29,56
1,8,24,15,20,22,21,20,21,22,16,30,61
1,9,24,16,22,20,23,22,22,22,17,30,61
2,10,22,13,26,23,27,26,20,16,19,31,71
1,11,24,16,28,24,24,25,23,28,21,38,72
2,12,25,15,17,25,24,26,22,26,20,37,71
2,13,25,16,27,25,24,28,24,26,20,38,73
1,15,26,17,28,24,24,25,23,25,21,39,78
1,17,28,18,29,28,27,28,25,27,24,40,79
2,17,26,18,29,28,28,29,26,30,25,40,79
1,18,26,19,28,28,27,28,29,29,27,41,80
2,18,28,19,28,28,27,28,29,29,27,41,82
1,20,29,19,28,26,28,28,29,28,28,40,82
2,20,28,19,29,27,27,28,27,26,28,41,87
1,21,26,17,38,27,28,27,27,26,25,40,85
2,21,25,18,32,28,31,31,28,27,26,41,86
1,21,26,20,31,30,32,26,29,28,29,42,89
1,1,11,6,15,13,12,14,9,9,6,13,20
2,1,11,5,16,13,13,15,9,9,7,13,21
1,1,12,5,17,12,13,15,10,9,8,13,22
1,1,13,5,17,13,14,16,10,9,8,14,23
2,1,14,5,18,14,14,17,10,9,8,15,24
2,5,20,14,19,17,16,18,18,20,12,26,43
1,5,21,15,20,18,16,18,18,21,12,27,44
1,5,22,15,20,19,18,20,19,22,12,26,45
1,10,22,12,25,22,26,24,7,15,4,32,51
2,10,22,12,25,23,27,26,8,16,14,32,52
2,10,20,13,26,23,26,27,10,19,19,31,52
1,9,21,14,26,21,23,29,11,18,18,32,53
1,11,23,15,26,21,20,22,13,19,19,32,54
2,11,24,16,27,24,23,24,17,19,20,33,55
1,11,24,16,28,27,26,28,19,20,21,34,56
1,12,26,17,28,26,25,27,20,21,22,36,57
1,12,26,16,27,28,25,28,21,22,24,28,59
2,12,26,18,28,28,25,27,21,22,25,39,59
1,13,28,18,27,22,25,27,21,23,26,40,62
1,14,26,18,28,23,25,27,21,23,26,40,63
2,19,26,18,30,25,26,29,28,26,28,41,65
1,17,27,18,30,26,26,29,29,26,28,41,56
1,19,28,26,31,28,28,29,30,26,29,42,68
2,18,29,19,32,28,27,29,31,26,30,42,67
1,19,29,20,31,26,26,29,30,27,30,42,69
1,19,28,18,28,23,25,27,21,26,29,40,68
2,20,26,17,28,21,26,28,27,26,29,40,69
1,20,28,18,28,22,25,26,25,27,28,21,68
1,22,26,20,27,28,26,28,27,28,28,42,72
1,2,18,9,8,19,18,20,9,10,8,14,31
2,2,19,9,9,20,19,21,20,11,9,16,35
1,3,11,8,11,19,12,11,16,10,9,18,32
2,4,18,8,10,7,16,10,20,12,10,20,35
2,4,20,10,10,20,20,20,13,13,11,22,38
1,4,19,10,10,20,20,20,13,13,10,11,38
2,4,20,11,11,22,22,22,16,12,12,22,39
1,4,20,11,10,20,20,21,18,10,12,19,37
1,4,20,11,11,22,22,22,16,12,12,22,39
1,5,20,10,9,22,23,24,14,15,11,22,42
1,6,21,9,9,20,20,20,14,11,9,17,37
2,6,21,10,6,19,20,19,12,19,9,17,38
2,6,20,9,10,22,21,20,12,18,12,18,39
1,8,18,18,9,19,12,9,14,11,13,21,42
2,11,19,13,11,20,22,11,18,14,9,32,50
1,12,21,11,9,20,22,10,17,19,19,32,50
2,15,22,17,15,37,38,42,19,22,18,35,59
1,18,20,19,17,44,42,46,28,19,26,37,66
1,14,22,14,16,34,20,38,24,19,19,35,64
2,20,21,18,19,34,37,39,22,17,15,33,59
1,29,23,21,19,42,38,44,28,22,18,37,66
1,37,22,17,14,33,33,37,25,24,23,41,68
2,49,24,19,17,46,48,63,20,24,15,34,60
2,52,22,16,17,41,14,45,19,16,17,33,60
2,23,22,18,16,45,47,62,19,21,17,33,62
1,40,22,18,14,45,45,46,25,27,22,39,70
